Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'
* Warning: component 'R918': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R212': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R213': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R214': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R215': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R216': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R301': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R302': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R303': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R304': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R305': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

